   0.0000000e+00   3.9500000e+00   8.5192266e+00   1.2000000e+00   9.8566899e+00
   1.0000000e-02   3.9800437e+00   8.4978215e+00   1.2275982e+00   9.8500558e+00
   2.0000000e-02   3.9601575e+00   8.5120039e+00   1.2553947e+00   9.8432246e+00
   3.0000000e-02   3.9903069e+00   8.4904804e+00   1.2833874e+00   9.8361940e+00
   4.0000000e-02   4.0204466e+00   8.4688370e+00   1.3115697e+00   9.8289626e+00
   5.0000000e-02   4.0505227e+00   8.4471136e+00   1.3899315e+00   9.8080499e+00
   6.0000000e-02   4.0804737e+00   8.4253566e+00   1.4184594e+00   9.8001431e+00
   7.0000000e-02   4.0602328e+00   8.4400734e+00   1.4471371e+00   9.7920372e+00
   8.0000000e-02   4.0897304e+00   8.4186074e+00   1.4759466e+00   9.7837354e+00
   9.0000000e-02   4.1188953e+00   8.3972665e+00   1.5048682e+00   9.7752415e+00
   1.0000000e-01   4.1476576e+00   8.3761070e+00   1.5338813e+00   9.7665602e+00
   1.1000000e-01   4.1759497e+00   8.3551843e+00   1.5629651e+00   9.7576967e+00
   1.2000000e-01   4.2037082e+00   8.3345519e+00   1.5920989e+00   9.7486566e+00
   1.3000000e-01   4.2308750e+00   8.3142598e+00   1.6212626e+00   9.7394457e+00
   1.4000000e-01   4.2073983e+00   8.3318014e+00   1.6504369e+00   9.7300701e+00
   1.5000000e-01   4.2332330e+00   8.3124939e+00   1.6796039e+00   9.7205359e+00
   1.6000000e-01   4.2583418e+00   8.2936441e+00   1.7087472e+00   9.7108490e+00
   1.7000000e-01   4.2826948e+00   8.2752824e+00   1.7378522e+00   9.7010152e+00
   1.8000000e-01   4.3062697e+00   8.2574333e+00   1.7669058e+00   9.6910398e+00
   1.9000000e-01   4.3290516e+00   8.2401159e+00   1.7958971e+00   9.6809279e+00
   2.0000000e-01   4.3510324e+00   8.2233436e+00   1.8248169e+00   9.6706842e+00
   2.1000000e-01   4.3722108e+00   8.2071246e+00   1.8536578e+00   9.6603128e+00
   2.2000000e-01   4.3925914e+00   8.1914623e+00   1.8824144e+00   9.6498173e+00
